accuracy_bestEA,accuracy_bestEA_10,accuracy_bestEA_NoNan,accuracy_bestEA_NoNan_10,accuracy_bestEA_deviation,accuracy_bestEA_mean,accuracy_firstEA,accuracy_firstEA_10,accuracy_firstEA_NoNan,accuracy_firstEA_NoNan_10,accuracy_firstEA_deviation,accuracy_firstEA_mean,count_noResult,count_scannedInternalNodes_005,count_scannedInternalNodes_025,count_scannedInternalNodes_050,count_scannedInternalNodes_075,count_scannedInternalNodes_095,count_scannedInternalNodes_deviation,count_scannedInternalNodes_mean,count_scannedPages_005,count_scannedPages_025,count_scannedPages_050,count_scannedPages_075,count_scannedPages_095,count_scannedPages_deviation,count_scannedPages_mean,count_scannedTiles_005,count_scannedTiles_025,count_scannedTiles_050,count_scannedTiles_075,count_scannedTiles_095,count_scannedTiles_deviation,count_scannedTiles_mean,duration_bestResult_005,duration_bestResult_025,duration_bestResult_050,duration_bestResult_075,duration_bestResult_095,duration_bestResult_deviation,duration_bestResult_mean,duration_firstResult_005,duration_firstResult_025,duration_firstResult_050,duration_firstResult_075,duration_firstResult_095,duration_firstResult_deviation,duration_firstResult_mean,duration_total_005,duration_total_025,duration_total_050,duration_total_075,duration_total_095,duration_total_deviation,duration_total_mean,queryType,size_scannedInternalNodes_005,size_scannedInternalNodes_025,size_scannedInternalNodes_050,size_scannedInternalNodes_075,size_scannedInternalNodes_095,size_scannedInternalNodes_deviation,size_scannedInternalNodes_mean,size_scannedPages_005,size_scannedPages_025,size_scannedPages_050,size_scannedPages_075,size_scannedPages_095,size_scannedPages_deviation,size_scannedPages_mean,size_total_005,size_total_025,size_total_050,size_total_075,size_total_095,size_total_deviation,size_total_mean
1,1,1,1,0,0,1,1,1,1,0,0,0,,,,,,,,8,14,20,27,37.099999999999994,9.37022411685014,20.83,,,,,,,,1.41975,2.2247500000000002,4.3260000000000005,6.719250000000001,32.53959999999999,9.942261163618667,8.35988,1.41975,2.2247500000000002,4.3260000000000005,6.719250000000001,32.53959999999999,9.942261163618667,8.35988,1.4198,2.22725,4.3260000000000005,6.7195,32.54149999999999,9.942120454606252,8.36331,baseline,,,,,,,,453.886474609375,817.9541015625,1149.89990234375,1556.647216796875,2138.8421386718746,541.4083990521913,1199.92001953125,453.886474609375,817.9541015625,1149.89990234375,1556.647216796875,2138.8421386718746,541.4083990521913,1199.92001953125
0.81,0.88,0.9204545454545454,1,606.7063226829523,122.72727272727273,0.81,0.88,0.9204545454545454,1,606.7063226829523,122.72727272727273,12,,,,,,,,4,8,12,18,27.049999999999997,8.474308231354343,13.81,2,3,5,9,11,3.0560759152874457,6.02,1.119,1.41775,3.637,5.628,32.447599999999994,11.001587320836746,8.310386363636365,1.119,1.41775,3.637,5.628,32.447599999999994,11.001587320836746,8.310386363636365,1.143,1.49625,3.6985,5.0489999999999995,32.3366,10.440967507252381,7.742750000000001,straight-one-level,,,,,,,,137.216796875,359.835693359375,624.2294921875,877.1904296875,1235.774853515625,423.82282863632935,665.1103515625,200.55078125,423.169677734375,687.5634765625,940.5244140625,1299.1088378906247,423.82282863632935,728.4443359375
0.81,0.88,0.9204545454545454,1,606.7063226829523,122.72727272727273,0.81,0.88,0.9204545454545454,1,606.7063226829523,122.72727272727273,12,,,,,,,,4,8,12,20,28,8.586011879796116,14.02,2,3,6,9,12,3.1682645091595494,6.11,1.0584500000000001,1.36625,3.7794999999999996,6.18175,31.40185,10.210292278515176,8.120204545454543,1.0584500000000001,1.36625,3.7794999999999996,6.18175,31.40185,10.210292278515176,8.120204545454543,1.0627,1.5202499999999999,3.7995,5.3835,31.3967,9.707828815317047,7.558549999999998,straight-multi-level,,,,,,,,179.1318359375,359.917724609375,625.90673828125,934.7763671875,1276.857421875,423.19378246314585,680.88416015625,230.4443359375,411.230224609375,677.21923828125,986.0888671875,1328.169921875,423.19378246314585,732.19666015625
0.98,1,0.98,1,483.9121821157223,51,0.89,1,0.89,1,583.7367900004247,135.6,0,,,,,,,,51.9,164.5,253,329,477.79999999999995,123.00068089242433,258.05,29,79.75,121.5,156.5,223,54.10291951456962,122.71,1.0851000000000002,1.63925,3.752,5.5645,31.337099999999992,9.827061149555343,7.770230000000002,1.0851000000000002,1.51825,3.752,5.29425,31.337099999999992,9.853339767733578,7.645960000000002,1.66935,3.254,6.436,9.198,37.329299999999996,11.417787173401859,10.60923,expanding-one-level,,,,,,,,1934.4841796875,7578.69677734375,11519.82666015625,15319.703125,21903.7236328125,5868.703139211769,11831.342724609374,1997.8181640625,7642.03076171875,11583.16064453125,15383.037109375,21967.0576171875,5868.703139211769,11894.676708984374
0.81,0.88,0.9204545454545454,1,606.7063226829523,122.72727272727273,0.81,0.88,0.9204545454545454,1,606.7063226829523,122.72727272727273,12,8,10,12,17,22,4.686352526219085,13.59,6,12,17,27,36,11.20294157799638,19.79,2,3,5,9,11,3.0560759152874457,6.02,1.31045,1.586,3.976,6.8374999999999995,32.783249999999995,10.523774892523463,8.451011363636367,1.31045,1.586,3.976,6.8374999999999995,32.783249999999995,10.523774892523463,8.451011363636367,1.3155999999999999,1.6700000000000002,3.9765,5.61075,32.2292,10.011963358277937,7.854450000000001,tree-one-level,15.9921875,22.220947265625,26.26171875,38.8037109375,48.6337890625,10.800982132971694,30.0781640625,192.0634765625,525.04931640625,818.3896484375,1314.60302734375,1695.62705078125,552.4823543848174,939.971796875,209.5009765625,550.924560546875,849.6376953125,1356.41259765625,1755.95419921875,561.8990892051862,970.0499609375
0.81,0.88,0.9204545454545454,1,606.7063226829523,122.72727272727273,0.81,0.88,0.9204545454545454,1,606.7063226829523,122.72727272727273,12,7,9,11,17,20,4.795581299488102,12.68,6,12,18,30,38,11.39569655615662,20.09,2,3,6,9,12,3.1682645091595494,6.11,1.24695,1.6324999999999998,4.031,5.673,32.1047,10.36033434594724,8.399386363636362,1.24695,1.6324999999999998,4.031,5.673,32.1047,10.36033434594724,8.399386363636362,1.25715,1.81375,3.919,5.459,32.082699999999996,9.859958557778022,7.80333,tree-multi-level,14.12109375,19.1318359375,25.236328125,39.0146484375,45.8349609375,11.177959515795697,28.7327734375,266.3076171875,525.17236328125,870.38623046875,1394.17041015625,1702.8783691406247,550.573933568906,962.666943359375,280.4287109375,550.025146484375,898.50634765625,1434.65576171875,1757.825830078125,560.3677465896948,991.399716796875
